Team,Defensive_Score,Defensive_Rank
BAL,1.0009372550356157,32.0
HOU,1.5718233904106613,31.0
MIN,1.629144471598666,30.0
JAX,2.5368691237784775,28.0
NO,3.1180306484067333,24.0
ATL,3.0223941302774477,25.0
NE,2.9067260829555917,27.0
WAS,3.3300632989639736,23.0
LAR,4.652511108393461,14.0
DET,2.040723981900452,29.0
TB,2.9301420049973563,26.0
CLE,5.058257918552036,10.0
CIN,3.796810626367039,22.0
IND,3.890155380512179,21.0
DAL,4.550681356009225,17.0
KC,4.596603761984669,16.0
LAC,4.519320986293021,18.0
SEA,4.418094518745434,19.0
NYG,4.859936340167777,12.0
ARI,4.382799181497349,20.0
LV,4.844005510591817,13.0
CAR,4.623640980198356,15.0
PIT,5.007675049502437,11.0
SF,5.695988214310297,6.0
TEN,5.569818984476651,7.0
GB,5.445662764611655,9.0
PHI,5.4569544323642685,8.0
CHI,6.031291119767494,3.0
NYJ,6.703746631060999,1.0
MIA,6.348605327751904,2.0
BUF,5.999417515208258,4.0
DEN,5.903161840722111,5.0
