Player,Receiver_Score,Receiver_Rank,Team
Ja'Marr Chase,2.812790143852226,2.0,CIN
Amon-Ra St. Brown,3.6758687496697235,3.0,DET
Terry McLaurin,3.96453060777163,4.0,WAS
Drake London,4.11296856175432,5.0,ATL
Garrett Wilson,4.213860414359501,6.0,NYJ
CeeDee Lamb,4.279988336004769,8.0,DAL
D.J. Moore,4.463595089474579,9.0,CHI
Justin Jefferson,4.503124025853787,10.0,MIN
De'Von Achane,4.612144047996148,11.0,MIA
Zay Flowers,4.618347103867493,12.0,BAL
Jaxon Smith-Njigba,4.637184310346209,13.0,SEA
Courtland Sutton,4.639891024571487,14.0,DEN
Marvin Harrison Jr.,4.6490840212173135,15.0,ARI
Darnell Mooney,4.718173524095618,17.0,ATL
Brian Thomas,4.785735768575087,19.0,JAX
Malik Nabers,4.84592226746822,20.0,NYG
Tyreek Hill,4.85184449787919,21.0,MIA
Demarcus Robinson,4.973788651941421,24.0,LAR
Wan'Dale Robinson,4.975733777927935,25.0,NYG
Mike Evans,4.998403582931885,27.0,TB
Keenan Allen,5.0278937494944795,29.0,CHI
Ladd McConkey,5.045823492524649,30.0,LAC
Jayden Reed,5.066639364110453,31.0,GB
George Pickens,5.09092255599255,32.0,PIT
Josh Downs,5.118128897225063,33.0,IND
Nick Westbrook-Ikhine,5.1363573327328655,34.0,TEN
Rashod Bateman,5.210278933130425,36.0,BAL
Jalen Tolbert,5.225463773184406,37.0,DAL
Xavier Legette,5.233985226991922,38.0,CAR
Cooper Kupp,5.245140189482854,40.0,LAR
Calvin Ridley,5.249621962729083,41.0,TEN
Xavier Worthy,5.28857571566336,42.0,KC
Jauan Jennings,5.293979327256869,43.0,SF
Michael Pittman Jr.,5.316013308393101,44.0,IND
DeAndre Hopkins,5.344001980986156,45.0,2TM
Khalil Shakir,5.348079029013295,46.0,BUF
Jakobi Meyers,5.359412645909907,47.0,LV
Davante Adams,5.364224393174485,48.0,2TM
Quentin Johnston,5.3693048406468975,49.0,LAC
Demario Douglas,5.41491893078929,53.0,NE
Alec Pierce,5.419689898308279,54.0,IND
Andrei Iosivas,5.429041351752855,56.0,CIN
Tank Dell,5.434362573230498,57.0,HOU
Dontayvion Wicks,5.46727639269027,59.0,GB
Jerry Jeudy,5.478452543994235,60.0,CLE
Diontae Johnson,5.488622071872223,62.0,2TM
Amari Cooper,5.505275484697274,63.0,2TM
D.K. Metcalf,5.517035002671034,64.0,SEA
Michael Wilson,5.552166277324523,66.0,ARI
Tyler Lockett,5.557098622034714,67.0,SEA
DeVonta Smith,5.582027876632258,69.0,PHI
Jaylen Waddle,5.583188789673878,70.0,MIA
Jordan Addison,5.5877092470732155,71.0,MIN
Tee Higgins,5.616190668707406,75.0,CIN
Tre Tucker,5.639027472457174,77.0,LV
Elijah Moore,5.666738610655226,78.0,CLE
Rome Odunze,5.673117939727799,80.0,CHI
Jameson Williams,5.687559187005322,81.0,DET
A.J. Brown,5.698386042902172,82.0,PHI
Mack Hollins,5.715987594980291,83.0,BUF
Nico Collins,5.726341440696279,84.0,HOU
Stefon Diggs,5.732829512509975,86.0,HOU
Cedric Tillman,5.7350933135686635,87.0,CLE
Chris Godwin,5.746121954222988,88.0,TB
Chase Brown,5.750980632033584,89.0,CIN
Jalen Nailor,5.753860688522892,91.0,MIN
Austin Hooper,5.777219744407815,93.0,NE
Calvin Austin III,5.785784236243762,94.0,PIT
Dalton Kincaid,5.809623803942123,95.0,BUF
Allen Lazard,5.849366143982699,96.0,NYJ
Juwan Johnson,5.858398153894198,97.0,NO
Romeo Doubs,5.917292336747601,99.0,GB
Ray-Ray McCloud,5.924669021720147,100.0,ATL
Breece Hall,5.9254295414246725,101.0,NYJ
Noah Brown,5.930014662117523,102.0,WAS
Ja'Lynn Polk,5.931982426367696,103.0,NE
Diontae Johnson,5.941126339029565,104.0,CAR
Zach Charbonnet,5.95855581652295,105.0,SEA
Tony Pollard,5.96042502767092,106.0,TEN
Troy Franklin,5.964078030797446,107.0,DEN
Deebo Samuel,5.971652109494472,108.0,SF
Jaleel McLaughlin,5.981183023365007,109.0,DEN
Johnny Mundt,5.992634509630857,110.0,MIN
AJ Barner,6.0056572040929925,111.0,SEA
Brenton Strange,6.010344790992995,112.0,JAX
Ameer Abdullah,6.012378627716425,113.0,LV
Theo Johnson,6.013796541118513,114.0,NYG
Kenneth Walker III,6.01403513768395,115.0,SEA
Saquon Barkley,6.014469981308083,116.0,PHI
Colby Parkinson,6.022987286511328,117.0,LAR
Darius Slayton,6.024444598096454,118.0,NYG
David Moore,6.02634610659565,119.0,CAR
Foster Moreau,6.0306442736235795,120.0,NO
Greg Dortch,6.065861253861862,121.0,ARI
Chigoziem Okonkwo,6.069774621223191,122.0,TEN
Gabriel Davis,6.086017732868006,123.0,JAX
Joe Mixon,6.08617965025147,124.0,HOU
James Cook,6.087758917545893,125.0,BUF
Sterling Shepard,6.099467937234218,127.0,TB
Josh Oliver,6.1010241831392165,128.0,MIN
Javonte Williams,6.110675064682977,129.0,DEN
J.K. Dobbins,6.114101274128663,130.0,LAC
Tyler Boyd,6.1226727392552105,131.0,TEN
Lil'Jordan Humphrey,6.125002101517622,132.0,DEN
Luke Schoonmaker,6.126834801533524,133.0,DAL
Curtis Samuel,6.129122698943149,134.0,BUF
Elijah Higgins,6.1292682440521755,135.0,ARI
Kayshon Boutte,6.132220976335401,136.0,NE
Chuba Hubbard,6.141267942613043,137.0,CAR
Cam Akers,6.150141957083528,138.0,2TM
Jahmyr Gibbs,6.1501729275040296,139.0,DET
Aaron Jones,6.151439648131675,140.0,MIN
Brock Wright,6.168368409777417,141.0,DET
Nick Vannett,6.172598270452804,142.0,TEN
Najee Harris,6.172790330544439,143.0,PIT
Amari Cooper,6.190529770338047,145.0,CLE
Dyami Brown,6.202358918381439,146.0,WAS
Nate Adkins,6.206754309371473,147.0,DEN
Tutu Atwell,6.2142243486857005,148.0,LAR
Puka Nacua,6.2182744592056824,149.0,LAR
Kyren Williams,6.220017552181277,150.0,LAR
Ja'Tavion Sanders,6.2225165179425685,151.0,CAR
Nelson Agholor,6.225303016325536,152.0,BAL
Keon Coleman,6.232486540636266,153.0,BUF
Jordan Akins,6.239427222665202,154.0,CLE
Wanya Morris,6.242966182457966,155.0,KC
Trenton Scott,6.242966182457966,155.0,WAS
Marvin Mims,6.246584194000506,157.0,DEN
Samaje Perine,6.24787166789297,158.0,KC
KaVontae Turpin,6.252183931237491,159.0,DAL
Josh Jacobs,6.259837565622715,160.0,GB
Jerome Ford,6.26034120417261,161.0,CLE
Travis Etienne,6.26101190312998,162.0,JAX
Davante Adams,6.262225397797522,163.0,NYJ
Chris Manhertz,6.262315080960851,164.0,NYG
Jermaine Jackson,6.262329127666924,165.0,NO
Marcus Mariota,6.262329127666924,165.0,WAS
Tyrod Taylor,6.262329127666924,165.0,NYJ
Tavierre Thomas,6.262329127666924,165.0,TB
Travis Homer,6.262329127666924,165.0,CHI
Jaden Hicks,6.262329127666924,165.0,KC
Hendon Hooker,6.262329127666924,165.0,DET
Terrell Jennings,6.262329127666924,165.0,NE
Jase McClellan,6.262329127666924,165.0,ATL
Trey Lance,6.262329127666924,165.0,DAL
Tyreik McAllister,6.262329127666924,165.0,LV
Matthew Hayball,6.262329127666924,165.0,NO
Kenny McIntosh,6.262329127666924,165.0,SEA
Jarrett Stidham,6.262329127666924,165.0,DEN
Nick Mullens,6.262329127666924,165.0,MIN
Will Shipley,6.262329127666924,165.0,PHI
Kenny Pickett,6.262329127666924,165.0,PHI
Jalen Reeves-Maybin,6.262329127666924,165.0,DET
Josh Johnson,6.262329127666924,165.0,BAL
Aaron Shampklin,6.262329127666924,165.0,PIT
Jake Haener,6.262329127666924,165.0,NO
Chris Rodriguez,6.262329127666924,165.0,WAS
Tommy DeVito,6.262329127666924,165.0,NYG
Khalil Herbert,6.262329127666924,165.0,CIN
Mitchell Trubisky,6.262329127666924,165.0,BUF
Jake Browning,6.262329127666924,165.0,CIN
British Brooks,6.262329127666924,165.0,HOU
Tim Boyle,6.262329127666924,165.0,MIA
Kyle Trask,6.262329127666924,165.0,TB
Kadarius Toney,6.262329127666924,165.0,CLE
Malik Willis,6.262329127666924,165.0,GB
Mike Boone,6.262329127666924,165.0,CAR
Jonathan Ward,6.262329127666924,165.0,PIT
Tyson Bagent,6.262329127666924,165.0,CHI
Dominick Puni,6.263422217104505,199.0,SF
Miles Sanders,6.269166342239988,200.0,CAR
Alexander Mattison,6.269683694683695,201.0,LV
Tyler Goodson,6.269724941913013,202.0,IND
Emanuel Wilson,6.272455850806429,203.0,GB
DJ Turner,6.280347049978821,204.0,LV
Braxton Berrios,6.285626618706351,205.0,MIA
Christian Watson,6.289223864832508,206.0,GB
Skyy Moore,6.293691134835383,207.0,KC
Adam Prentice,6.293691134835383,207.0,NO
Bucky Irving,6.2940922450143395,209.0,TB
Adonai Mitchell,6.296852206088359,210.0,IND
