wide_receiver,Receiver_Score,Receiver_Rank,team,offense_composite,offense_rank,defense_composite,defensive_rank,week,opponent_team,opponent_defensive_rank,opponent_defensive_score,adjusted_receiver_score
James Conner,6.415652420092469,280,ARI,2.8556658045283125,20,4.382799181497349,20,Week10,NYJ,1,6.703746631060999,0.9570248956555607
James Conner,6.415652420092469,280,ARI,2.8556658045283125,20,4.382799181497349,20,Week14,SEA,19,4.418094518745434,1.4521310924588964
James Conner,6.415652420092469,280,ARI,2.8556658045283125,20,4.382799181497349,20,Week15,NE,27,2.9067260829555917,2.207174751591647
James Conner,6.415652420092469,280,ARI,2.8556658045283125,20,4.382799181497349,20,Week13,MIN,30,1.629144471598666,3.9380500206938933
James Conner,6.415652420092469,280,ARI,2.8556658045283125,20,4.382799181497349,20,Week12,SEA,19,4.418094518745434,1.4521310924588964
James Conner,6.415652420092469,280,ARI,2.8556658045283125,20,4.382799181497349,20,Week1,BUF,4,5.999417515208258,1.0693792195374092
Michael Wilson,5.552166277324523,66,ARI,2.8556658045283125,20,4.382799181497349,20,Week10,NYJ,1,6.703746631060999,0.8282183953073693
Michael Wilson,5.552166277324523,66,ARI,2.8556658045283125,20,4.382799181497349,20,Week14,SEA,19,4.418094518745434,1.2566879802519755
Michael Wilson,5.552166277324523,66,ARI,2.8556658045283125,20,4.382799181497349,20,Week15,NE,27,2.9067260829555917,1.9101099033311795
Michael Wilson,5.552166277324523,66,ARI,2.8556658045283125,20,4.382799181497349,20,Week13,MIN,30,1.629144471598666,3.4080257301405736
Michael Wilson,5.552166277324523,66,ARI,2.8556658045283125,20,4.382799181497349,20,Week12,SEA,19,4.418094518745434,1.2566879802519755
Michael Wilson,5.552166277324523,66,ARI,2.8556658045283125,20,4.382799181497349,20,Week1,BUF,4,5.999417515208258,0.9254508897322161
Xavier Weaver,6.309820167093448,220,ARI,2.8556658045283125,20,4.382799181497349,20,Week10,NYJ,1,6.703746631060999,0.9412378650854225
Xavier Weaver,6.309820167093448,220,ARI,2.8556658045283125,20,4.382799181497349,20,Week14,SEA,19,4.418094518745434,1.4281768170240934
